teacherId,firstName,lastName,email,password,phone,role,departmentId,needWheelchairAccessibleRoom
tch-feseha-a,Feseha,A,feseha.a@aait.edu,pass123,555-1001,TEACHER,dpt-preeng-001,false
tch-endalkachew-b,Endalkachew,B,endalkachew.b@aait.edu,pass123,555-1002,TEACHER,dpt-preeng-001,false
tch-telaklign-r,Telaklign,R,telaklign.r@aait.edu,pass123,555-1003,TEACHER,dpt-preeng-001,false
tch-demoz-h,Demoz,H,demoz.h@aait.edu,pass123,555-1004,TEACHER,dpt-preeng-001,false
tch-gashaw-b,Gashaw,B,gashaw.b@aait.edu,pass123,555-1005,TEACHER,dpt-preeng-001,false
tch-fekadu-g,Fekadu,G,fekadu.g@aait.edu,pass123,555-1006,TEACHER,dpt-preeng-001,false
tch-sewalem-t,Sewalem,T,sewalem.t@aait.edu,pass123,555-1007,TEACHER,dpt-preeng-001,false
tch-fikre-b,Fikre,B,fikre.b@aait.edu,pass123,555-1008,TEACHER,dpt-preeng-001,false
tch-tesfu-k,Tesfu,K,tesfu.k@aait.edu,pass123,555-1009,TEACHER,dpt-preeng-001,false
tch-eba-m,Eba,M,eba.m@aait.edu,pass123,555-1010,TEACHER,dpt-preeng-001,true
tch-abiy-t,Abiy,T,abiy.t@aait.edu,pass123,555-1011,TEACHER,dpt-preeng-001,false
tch-endrias-g,Endrias,G,endrias.g@aait.edu,pass123,555-1012,TEACHER,dpt-preeng-001,false
tch-esubalew-g,Esubalew,G,esubalew.g@aait.edu,pass123,555-1013,TEACHER,dpt-preeng-001,false
tch-terefe-t,Terefe,T,terefe.t@aait.edu,pass123,555-1014,TEACHER,dpt-preeng-001,false
tch-endalkachew-m,Endalkachew,M,endalkachew.m@aait.edu,pass123,555-1015,TEACHER,dpt-preeng-001,false
tch-gashaw-g,Gashaw,G,gashaw.g@aait.edu,pass123,555-1016,TEACHER,dpt-preeng-001,false
tch-wondwosen-a,Wondwosen,A,wondwosen.a@aait.edu,pass123,555-1017,TEACHER,dpt-preeng-001,false
tch-biruk-h,Biruk,H,biruk.h@aait.edu,pass123,555-1018,TEACHER,dpt-preeng-001,false
tch-tesfaye-m,Tesfaye,M,tesfaye.m@aait.edu,pass123,555-1019,TEACHER,dpt-preeng-001,false
tch-teklemichael-w,Teklemichael,W,teklemichael.w@aait.edu,pass123,555-1020,TEACHER,dpt-preeng-001,true
tch-azmeraw-b,Azmeraw,B,azmeraw.b@aait.edu,pass123,555-1021,TEACHER,dpt-preeng-001,false
tch-tsegaye-m,Tsegaye,M,tsegaye.m@aait.edu,pass123,555-1022,TEACHER,dpt-preeng-001,false
tch-geremew-g,Geremew,G,geremew.g@aait.edu,pass123,555-1023,TEACHER,dpt-preeng-001,false
tch-atsede-m,Atsede,M,atsede.m@aait.edu,pass123,555-1024,TEACHER,dpt-preeng-001,false
tch-tarik-a,Tarik,A,tarik.a@aait.edu,pass123,555-1025,TEACHER,dpt-preeng-001,false
tch-deribe-h,Deribe,H,deribe.h@aait.edu,pass123,555-1026,TEACHER,dpt-preeng-001,false
tch-nebiyou-t,Nebiyou,T,nebiyou.t@aait.edu,pass123,555-1027,TEACHER,dpt-preeng-001,false
tch-hiwot-r,Hiwot,R,hiwot.r@aait.edu,pass123,555-1028,TEACHER,dpt-preeng-001,false
tch-mulu-e,Mulu,E,mulu.e@aait.edu,pass123,555-1029,TEACHER,dpt-preeng-001,false
tch-sisay-a,Sisay,A,sisay.a@aait.edu,pass123,555-1030,TEACHER,dpt-preeng-001,true
tch-henok-y,Henok,Y,henok.y@aait.edu,pass123,555-1031,TEACHER,dpt-preeng-001,false
tch-sahlemichael-b,Sahlemichael,B,sahlemichael.b@aait.edu,pass123,555-1032,TEACHER,dpt-preeng-001,false
tch-meknonnen-m,Meknonnen,M,meknonnen.m@aait.edu,pass123,555-1033,TEACHER,dpt-preeng-001,false
tch-tewodros-g,Tewodros,G,tewodros.g@aait.edu,pass123,555-1034,TEACHER,dpt-preeng-001,false
tch-gebrie-t,Gebrie,T,gebrie.t@aait.edu,pass123,555-1035,TEACHER,dpt-preeng-001,false
tch-tizita-l,Tizita,L,tizita.l@aait.edu,pass123,555-1036,TEACHER,dpt-preeng-001,false
tch-yitagesu-e,Yitagesu,E,yitagesu.e@aait.edu,pass123,555-1037,TEACHER,dpt-preeng-001,false
tch-smegnsch-d,Smegnsch,D,smegnsch.d@aait.edu,pass123,555-1038,TEACHER,dpt-preeng-001,false
tch-tebarek-l,Tebarek,L,tebarek.l@aait.edu,pass123,555-1039,TEACHER,dpt-preeng-001,false
tch-abraraw-t,Abraraw,T,abraraw.t@aait.edu,pass123,555-1040,TEACHER,dpt-preeng-001,true
tch-geremew-t,Geremew,T,geremew.t@aait.edu,pass123,555-1041,TEACHER,dpt-preeng-001,false
tch-timotewos-t,Timotewos,T,timotewos.t@aait.edu,pass123,555-1042,TEACHER,dpt-preeng-001,false
tch-halid-a,Halid,A,halid.a@aait.edu,pass123,555-1043,TEACHER,dpt-preeng-001,false
tch-jiregna-a,Jiregna,A,jiregna.a@aait.edu,pass123,555-1044,TEACHER,dpt-preeng-001,false
tch-misikir-c,Misikir,C,misikir.c@aait.edu,pass123,555-1045,TEACHER,dpt-preeng-001,false
tch-demis-m,Demis,M,demis.m@aait.edu,pass123,555-1046,TEACHER,dpt-preeng-001,false
tch-animaw-a,Animaw,A,animaw.a@aait.edu,pass123,555-1047,TEACHER,dpt-preeng-001,false
tch-shewangizaw-a,Shewangizaw,A,shewangizaw.a@aait.edu,pass123,555-1048,TEACHER,dpt-preeng-001,false
tch-araniyos-t,Araniyos,T,araniyos.t@aait.edu,pass123,555-1049,TEACHER,dpt-preeng-001,false
tch-daniel-e,Daniel,E,daniel.e@aait.edu,pass123,555-1050,TEACHER,dpt-preeng-001,true
tch-goitom-a,Goitom,A,goitom.a@aait.edu,pass123,555-1051,TEACHER,dpt-preeng-001,false
tch-seime-k,Seime,K,seime.k@aait.edu,pass123,555-1052,TEACHER,dpt-preeng-001,false
tch-cheramlak-f,Cheramlak,F,cheramlak.f@aait.edu,pass123,555-1053,TEACHER,dpt-preeng-001,false
tch-filagot-y,Filagot,Y,filagot.y@aait.edu,pass123,555-1054,TEACHER,dpt-preeng-001,false
tch-eden-a,Eden,A,eden.a@aait.edu,pass123,555-1055,TEACHER,dpt-preeng-001,false
tch-gashaw-t,Gashaw,T,gashaw.t@aait.edu,pass123,555-1056,TEACHER,dpt-preeng-001,false
tch-tamiru-a,Tamiru,A,tamiru.a@aait.edu,pass123,555-1057,TEACHER,dpt-preeng-001,false
tch-befikadu-l,Befikadu,L,befikadu.l@aait.edu,pass123,555-1058,TEACHER,dpt-preeng-001,false
tch-daniel-a,Daniel,A,daniel.a@aait.edu,pass123,555-1059,TEACHER,dpt-preeng-001,false
tch-kibremarkos-a,Kibremarkos,A,kibremarkos.a@aait.edu,pass123,555-1060,TEACHER,dpt-preeng-001,true
tch-mezemir-t,Mezemir,T,mezemir.t@aait.edu,pass123,555-1061,TEACHER,dpt-preeng-001,false
tch-tamene-k,Tamene,K,tamene.k@aait.edu,pass123,555-1062,TEACHER,dpt-preeng-001,false
tch-wegene-l,Wegene,L,wegene.l@aait.edu,pass123,555-1063,TEACHER,dpt-preeng-001,false
tch-asmamaw-l,Asmamaw,L,asmamaw.l@aait.edu,pass123,555-1064,TEACHER,dpt-preeng-001,false
tch-dereje-a,Dereje,A,dereje.a@aait.edu,pass123,555-1065,TEACHER,dpt-preeng-001,false
tch-nohe-s,Nohe,S,nohe.s@aait.edu,pass123,555-1066,TEACHER,dpt-preeng-001,false
tch-habiba-n,Habiba,N,habiba.n@aait.edu,pass123,555-1067,TEACHER,dpt-preeng-001,false
tch-natnael-a,Natnael,A,natnael.a@aait.edu,pass123,555-1068,TEACHER,dpt-preeng-001,false
